election_id,election,candidate_id,選舉類型,擬參選人,個人捐贈收入,營利事業捐贈收入,政黨捐贈收入,人民團體捐贈收入,匿名捐贈收入,其他收入,人事費用支出,宣傳支出,租用宣傳車輛支出,租用競選辦事處支出,集會支出,交通旅運支出,雜支支出,返還捐贈支出,繳庫支出,公共關係費用支出
55086798-c350-4d0c-a197-35296ab936af,"2016-01 > 立法委員 > 新竹市 > 第01選區[區域]",551051e4-764c-45a2-b55b-12916ab936af,105年立法委員,黃源甫,300000,16888,0,0,1,0,122000,359865,0,316889,19138,0,8413,279892,0,0
550866b4-7140-4a51-bea1-23aa6ab936af,"2016-01 > 立法委員 > 苗栗縣 > 第01選區[區域]",565432ce-9264-4d5b-8c1d-19786ab936af,105年立法委員,黃玉燕,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
55086526-97a0-4c1e-be70-28956ab936af,"2016-01 > 立法委員 > 臺北市 > 第04選區[區域]",555ab97a-c0e0-4379-a550-5a316ab936af,105年立法委員,黃珊珊,10011258,8796000,3000000,100000,0,3971,6214646,8168889,21911229,525904,782355,1084000,397828,3389423,0,21106
550865f0-d50c-40e9-bffa-28956ab936af,"2016-01 > 立法委員 > 臺南市 > 第01選區[區域]",55b7b4e4-fb4c-4e6d-aca9-318f6ab936af,105年立法委員,黃瑞坤,246280,0,5500000,0,500,666,2916790,2468900,160800,135000,131900,0,135584,376031,0,0
5508664a-6e84-44b5-914a-2f916ab936af,"2016-01 > 立法委員 > 高雄市 > 第08選區[區域]",555b4eeb-e398-47bb-8864-7d4e6ab936af,105年立法委員,黃璽文,717000,2600000,5500000,0,4000,63,2100410,4433749,0,894985,152835,293398,775179,500000,0,0
550866d6-c960-4d76-b09d-28956ab936af,"2016-01 > 立法委員 > 彰化縣 > 第02選區[區域]",550ce4d3-ddd8-43f3-84c4-126d6ab936af,105年立法委員,黃秀芳,350000,11040,287,7209223,1136893,13442557,188000,1228605,296567,310000,0,0,29740,13638700,0,0
550865f4-baf8-4cae-88be-2f916ab936af,"2016-01 > 立法委員 > 臺南市 > 第02選區[區域]",55b7b4fd-fb88-4109-b790-39d16ab936af,105年立法委員,黃耀盛,0,592,2032210,1663577,5766442,180245,85000,1229930,1162323,0,0,0,266960,6845008,0,5500000
550865b9-edc4-435c-9c17-35296ab936af,"2016-01 > 立法委員 > 臺中市 > 第01選區[區域]",56593a75-954c-42e8-ba50-0ed66ab936af,105年立法委員,黃金推,0,0,0,0,0,0,0,0,0,0,0,200000,0,0,0,0
5508657f-3cdc-45ef-bf71-23aa6ab936af,"2016-01 > 立法委員 > 新北市 > 第06選區[區域]",55b79337-26a8-41d0-b6be-318f6ab936af,105年立法委員,黃鈞民,21000,15000,200000,0,0,5,0,236005,0,0,0,15000,2551,229569,0,0
55086631-1928-4f9a-8a25-23d86ab936af,"2016-01 > 立法委員 > 高雄市 > 第02選區[區域]",55a699a5-5804-469a-8b6d-1b8e6ab936af,105年立法委員,黃韻涵,1590700,3146000,5500000,2000,2000,324,1005985,9238618,10241024,0,224000,0,186395,151636,0,0
55086520-1080-43fa-9dc6-23d86ab936af,"2016-01 > 立法委員 > 臺北市 > 第03選區[區域]",551809dd-5a48-4ac6-885b-148d6ab936af,105年立法委員,黃麗香,14000,0,0,12000,0,0,0,26000,0,0,0,0,0,0,0,0
55086531-af74-431e-b54e-35296ab936af,"2016-01 > 立法委員 > 臺北市 > 第06選區[區域]",55afccb6-c4a8-4b52-b6b9-09286ab936af,105年立法委員,龎維良,513000,170000,0,0,16500,65,432000,406567,0,699565,0,20000,0,24750,0,0
5508652b-cb04-46ec-91d6-23d86ab936af,"2016-01 > 立法委員 > 臺北市 > 第05選區[區域]",55180c0e-3bb4-4939-a3a1-17a06ab936af,105年立法委員,龔偉綸,104500,0,0,0,0,0,104500,104500,0,0,0,0,0,0,0,0
