郭清華,第16屆臺南市議員擬參選人郭清華政治獻金專戶,http://sunshine.cy.gov.tw/GipOpenWeb/wSite/public/upload/Collection_Accounting/581/09418060721.doc
楊正中,第16屆臺中市議員擬參選人楊正中政治獻金專戶,http://sunshine.cy.gov.tw/GipOpenWeb/wSite/public/upload/Collection_Accounting/577/09418060731.doc
劉國隆,第16屆臺中市議員擬參選人劉國隆政治獻金專戶,http://sunshine.cy.gov.tw/GipOpenWeb/wSite/public/upload/Collection_Accounting/584/09418060821.doc
許敬民,第15屆澎湖縣長擬參選人許敬民政治獻金專戶,http://sunshine.cy.gov.tw/GipOpenWeb/wSite/public/upload/Collection_Accounting/2326/09418060831.doc
陳麗娟,第16屆臺南縣議員擬參選人陳麗娟政治獻金專戶,http://sunshine.cy.gov.tw/GipOpenWeb/wSite/public/upload/Collection_Accounting/587/09418061631.doc
李妍慧,第7屆新竹市議員擬參選人李妍慧政治獻金專戶,http://sunshine.cy.gov.tw/GipOpenWeb/wSite/public/upload/Collection_Accounting/582/09418061641.doc
梁禎祥,第16屆彰化縣議員擬參選人梁禎祥政治獻金專戶,http://sunshine.cy.gov.tw/GipOpenWeb/wSite/public/upload/Collection_Accounting/589/09418062031.doc
林威邦,第16屆臺中市議員擬參選人林威邦政治獻金專戶,http://sunshine.cy.gov.tw/GipOpenWeb/wSite/public/upload/Collection_Accounting/585/09418062431.doc
沈佑蓮,第16屆臺中市議員擬參選人沈佑蓮政治獻金專戶,http://sunshine.cy.gov.tw/GipOpenWeb/wSite/public/upload/Collection_Accounting/583/09418062631.doc
阮厚爵,第16屆彰化縣議員擬參選人阮厚爵政治獻金專戶,http://sunshine.cy.gov.tw/GipOpenWeb/wSite/public/upload/Collection_Accounting/586/09418063011.doc
黃秀芳,第16屆彰化縣議員擬參選人黃秀芳政治獻金專戶,http://sunshine.cy.gov.tw/GipOpenWeb/wSite/public/upload/Collection_Accounting/588/09418063431.doc
王拓,第15屆基隆市長擬參選人王拓政治獻金專戶,http://sunshine.cy.gov.tw/GipOpenWeb/wSite/public/upload/Collection_Accounting/590/09418064081.doc
鄭世維,第16屆臺北縣議員擬參選人鄭世維政治獻金專戶,http://sunshine.cy.gov.tw/GipOpenWeb/wSite/public/upload/Collection_Accounting/591/09418064251.doc
蔡旺詮,第16屆臺南市議員擬參選人蔡旺詮政治獻金專戶,http://sunshine.cy.gov.tw/GipOpenWeb/wSite/public/upload/Collection_Accounting/594/09418064761.doc
張雪如,第16屆彰化縣議員擬參選人張雪如政治獻金專戶,http://sunshine.cy.gov.tw/GipOpenWeb/wSite/public/upload/Collection_Accounting/592/09418064771.doc
許文琪,第16屆臺北縣議員擬參選人許文琪政治獻金專戶,http://sunshine.cy.gov.tw/GipOpenWeb/wSite/public/upload/Collection_Accounting/595/09418064801.doc
張幸源,第16屆新竹縣議員擬參選人張幸源政治獻金專戶,http://sunshine.cy.gov.tw/GipOpenWeb/wSite/public/upload/Collection_Accounting/596/09418065121.doc
林國政,第16屆桃園縣議員擬參選人林國政政治獻金專戶,http://sunshine.cy.gov.tw/GipOpenWeb/wSite/public/upload/Collection_Accounting/2679/09418065131.doc
魏仕諭,第16屆臺中市議員擬參選人魏仕諭政治獻金專戶,http://sunshine.cy.gov.tw/GipOpenWeb/wSite/public/upload/Collection_Accounting/598/09418065291.doc
丁振嘉,第16屆臺中市議員擬參選人丁振嘉政治獻金專戶,http://sunshine.cy.gov.tw/GipOpenWeb/wSite/public/upload/Collection_Accounting/607/09418065301.doc
楊立,第16屆桃園縣議員擬參選人楊立政治獻金專戶,http://sunshine.cy.gov.tw/GipOpenWeb/wSite/public/upload/Collection_Accounting/600/09418065311.doc
曾木川,第16屆臺中市議員擬參選人曾木川政治獻金專戶,http://sunshine.cy.gov.tw/GipOpenWeb/wSite/public/upload/Collection_Accounting/599/09418065621.doc
洪玉鳳,第16屆臺南市議員擬參選人洪玉鳳政治獻金專戶,http://sunshine.cy.gov.tw/GipOpenWeb/wSite/public/upload/Collection_Accounting/601/09418066101.doc
黃俊哲,第16屆臺北縣議員擬參選人黃俊哲政治獻金專戶,http://sunshine.cy.gov.tw/GipOpenWeb/wSite/public/upload/Collection_Accounting/654/09418066251.doc
王永通,第16屆臺中縣議員擬參選人王永通政治獻金專戶,http://sunshine.cy.gov.tw/GipOpenWeb/wSite/public/upload/Collection_Accounting/615/09418066261.doc
林栢裕,第16屆臺中縣議員擬參選人林栢裕政治獻金專戶,http://sunshine.cy.gov.tw/GipOpenWeb/wSite/public/upload/Collection_Accounting/602/09418066271.doc
黃金鏞,第16屆臺南縣議員擬參選人黃金鏞政治獻金專戶,http://sunshine.cy.gov.tw/GipOpenWeb/wSite/public/upload/Collection_Accounting/605/09418066481.doc
